OBJECTID,metro line,metro_station_num,metro station_name,municipal district,x-longitude,y-latitude,job-worker ratio 2011,job-worker ratio 2012,job-worker ratio 2013,job-worker ratio 2014,job-worker ratio 2015
242,Line 5,531,Beiyuanlu North,Chaoyang District,116.418,40.0309,1.715025907,1.925737252,2.136448598,1.70215311,1.742917847
243,Line 5,529,Lishuiqiao South,Chaoyang District,116.416,40.0387,0.329223181,0.414008454,0.498793727,0.573235294,0.420560748
244,Line 5,527,Lishuiqiao,Chaoyang District,116.412,40.0525,0.126857829,0.187239117,0.156643357,0.205289803,0.150657414
245,Line 15,1547,Maquanying,Chaoyang District,116.499,40.0335,0.334661355,0.23960396,0.364846871,0.290227774,0.303341902
246,Line 15,1545,Cuigezhuang,Chaoyang District,116.493,40.0223,0.492957746,0.484848485,0.344827586,0.250327654,0.122994652
247,Line 14,1491,Laiguangying,Chaoyang District,116.469,40.024,NA,NA,NA,NA,2.728070175
248,Line 14,1489,Donghuqu,Chaoyang District,116.467,40.0135,NA,NA,NA,NA,4.037914692
249,Line 14 (West Section),1487,Wangjing,Chaoyang District,116.47,39.9985,1.341463415,2.544401544,3.612759644,3.192723697,3.392458101
250,Line 14,1485,Futong,Chaoyang District,116.471,39.9922,NA,NA,NA,NA,4.151162791
251,Line 14,1483,Wangjing South,Chaoyang District,116.477,39.9881,NA,NA,NA,NA,5.238993711
252,Line 13,1343,Wangjing West,Chaoyang District,116.447,39.9951,1.530179445,2.028871391,2.398455598,2.131299122,2.121468927
253,Airport Express,9825,Terminal 2,Chaoyang District,116.602,40.0547,NA,NA,NA,NA,NA
254,Line 15,1561,Shunyi,Shunyi District,116.656,40.1299,NA,0.126373626,0.165919283,0.329218107,0.152854512
255,Line 15,1557,Nanfaxin,Shunyi District,116.612,40.1286,NA,0.510638298,0.474074074,0.600536193,0.402402402
256,Line 15,1553,Hualikan,Shunyi District,116.557,40.0841,0.490272374,0.773109244,0.884462151,0.926966292,0.652173913
257,Line 15,1551,China International Exhibition Center,Shunyi District,116.554,40.0675,2.58,2.677419355,2.446991404,2.15942029,1.171511628
258,Line 8,813,Huoying,Changping District,116.361,40.0707,0.026613375,0.021818787,0.027133126,0.096922809,0.052616065
259,Line 8,811,Huilongguan East St.,Changping District,116.367,40.0823,NA,0.024067389,0.045729797,0.116031887,0.059049448
260,Line 5,525,Tiantongyuan South,Changping District,116.413,40.0666,0.10875045,0.109930781,0.111111111,0.180843103,0.099616858
261,Line 5,523,Tiantongyuan,Changping District,116.413,40.0752,0.042049808,0.042868964,0.043688119,0.096370545,0.04246872
262,Changping Line,9439,Life Science Park,Changping District,116.296,40.0963,0.046175637,0.081657903,0.085663821,0.203479253,0.225627477
263,Changping Line,9435,Gonghuacheng,Changping District,116.301,40.1334,0.051724138,0.057971014,0.01,0.065656566,0.024630542
264,Line 13,1335,Huilongguan,Changping District,116.336,40.0707,0.038560411,0.036828645,0.047588126,0.096286873,0.051779441
265,Line 13,1333,Longze,Changping District,116.319,40.0709,0.084935721,0.074611611,0.084419397,0.136834547,0.067533406
266,Line 8,809,Pingxifu,Changping District,116.356,40.0992,NA,NA,NA,0.168243954,0.127682403
267,Line 8,807,Yuzhilu,Changping District,116.338,40.0983,NA,NA,NA,0.197718631,0.128166915
268,Changping Line,9429,Nanshao,Changping District,116.261,40.2024,0.174219537,0.195061728,0.207105719,0.258052434,0.160298639
