OBJECTID,metro line,metro_station_num,metro station_name,municipal district,x-longitude,y-latitude,job-worker ratio 2011,job-worker ratio 2012,job-worker ratio 2013,job-worker ratio 2014,job-worker ratio 2015
143,Line 10,1025,Taiyanggong,Chaoyang District,116.448,39.9726,0.49668435,0.620116376,0.853985793,1.043027638,1.138546798
144,Line 6,651,Shilipu,Chaoyang District,116.502,39.923,NA,NA,0.263878875,0.405413357,0.432432432
145,Line 6,649,Jintailu,Chaoyang District,116.478,39.923,NA,NA,1.099540582,1.232707775,1.166791324
146,Line 6,647,Hujialou,Chaoyang District,116.462,39.9233,2.876847291,2.489570552,6.025462963,4.376373626,6.009771987
147,Line 6,645,Dongdaqiao,Shunyi District,116.452,39.9232,NA,NA,12.48717949,6.874429224,12.00289855
148,Line 1,125,Sihui East,Chaoyang District,116.515,39.9084,0.299408784,0.444917158,0.590425532,1.018578879,1.342277487
149,Line 1,124,Sihui,Chaoyang District,116.496,39.9088,1.713578889,1.717782654,1.721986418,1.80149925,1.697674419
150,Line 1,123,Dawanglu,Chaoyang District,116.477,39.9083,3.052977572,3.447866878,3.842756184,2.97831669,4.314006024
151,Line 10,122,Guomao,Chaoyang District,116.462,39.9084,3.427054478,1.846363636,3.394308943,2.545568562,3.604898829
152,Line 1,121,Yong'anli,Chaoyang District,116.451,39.9085,17.52589641,16.72598323,15.92607004,6.887451488,20.36180905
153,Line 13,1349,Liufang,Chaoyang District,116.433,39.9582,4.59936407,5.488235294,5.579143389,4.442105263,5.281314168
154,Line 13,1347,Guangximen,Chaoyang District,116.432,39.9684,1.715827338,1.724832215,1.867537313,1.807643312,2.025943396
155,Line 10,1023,Shaoyaoju,Chaoyang District,116.435,39.9768,0.687436677,0.693498452,0.98,1.030261723,1.054513482
156,Line 10,1019,Anzhenmen,Chaoyang District,116.406,39.977,1.419836957,1.427444795,2.085062241,1.840361446,2.4604811
157,Line 10,1015,Jiedemen,Haidian District,116.381,39.9768,1.380381087,1.653767821,2.572509458,2.425953442,3.071881607
158,Line 10,1013,Mudan Garden,Haidian District,116.37,39.9767,1.221279004,1.220723918,1.570234114,1.53997195,1.705382436
159,Line 8,831,Anhuqiao,Chaoyang District,116.394,39.9632,NA,NA,2.308988764,1.971910112,2.163003663
160,Line 8,829,Beitucheng,Chaoyang District,116.394,39.9769,0.820073439,1.80733945,1.6996997,1.573493976,1.978365385
161,Line 6,639,Nanluoguxiang,Dongcheng District,116.401,39.9334,NA,NA,1.897435897,2.173447537,2.637323944
162,Line 6,637,Beihai North,Dongcheng District,116.391,39.9333,NA,NA,2.138613861,1.923076923,2.008097166
163,Line 5,551,Dengshikou,Dongcheng District,116.418,39.9169,11.16595745,11.48922872,11.8125,6.250788644,12.01345291
164,Line 5,549,Dongsi,Dongcheng District,116.417,39.9243,4.914110429,4.786146124,4.658181818,3.03030303,3.686230248
165,Line 5,547,Zhangzizhonglu,Dongcheng District,116.417,39.9337,3.090277778,2.702638889,2.315,2.077227723,2.324909747
166,Line 5,545,Beixinqiao,Dongcheng District,116.417,39.941,1.98556701,2.071929234,2.158291457,2.021420519,2.539956803
167,Line 5,541,Hepingli North St.,Dongcheng District,116.419,39.9593,1.516770186,1.711538246,1.906306306,1.604524181,1.618257261
168,Line 5,539,Heping West Bridge,Chaoyang District,116.418,39.9682,2.487755102,2.739211921,2.99066874,2.510177282,2.995907231
169,Line 5,537,South of Huixin West St.,Chaoyang District,116.418,39.9771,0.702931596,0.824601763,0.94627193,0.98992674,1.070398643
170,Line 4,451,Lingjing Hutong,Xicheng District,116.374,39.9158,4.762790698,5.797425883,6.832061069,4.455497382,6.583643123
171,Line 4,449,Xisi,Xicheng District,116.373,39.9241,2.301204819,2.967149172,3.633093525,2.678111588,2.882562278
172,Line 4,447,Ping'anli,Xicheng District,116.373,39.934,1.953757225,1.885303521,1.816849817,1.496981891,1.627865961
173,Line 4,445,Xinjiekou,Xicheng District,116.368,39.9406,1.249376559,1.27947443,1.309572301,1.482191781,2.150246305
174,Line 2,218,Jishuitan,Xicheng District,116.372,39.9487,0.803144224,0.743475019,0.836071184,0.956498244,1.06122449
175,Line 2,217,Gulou Dajie,Dongcheng District,116.394,39.949,1.126056879,1.138810198,1.543529412,1.429760666,1.528985507
176,Line 2,216,Andingmen,Dongcheng District,116.408,39.9491,1.565140845,1.382126348,1.640063847,1.294964029,1.531066823
177,Line 2,215,Yonghegong,Dongcheng District,116.416,39.9493,3.891812865,3.790794979,4.405362776,3.689862543,5.364210526
178,Line 2,214,Dongzhimen,Dongcheng District,116.434,39.9411,1.913135593,1.989820359,1.562588302,1.854431793,2.059720457
179,Line 2,213,Dongsi Shitiao,Dongcheng District,116.434,39.9337,6.006195787,6.918635171,8.328424153,5.611918605,9.982339956
180,Line 2,212,Chaoyangmen,Chaoyang District,116.435,39.9245,9.437257439,9.76674938,12.22292994,6.598275079,11.36493506
181,Line 2,210,Beijing Railway Station,Dongcheng District,116.427,39.905,3.878431373,2.54,4.006514658,3.102787456,6.967741935
182,Line 1,120,Jianguomen,Chaoyang District,116.436,39.9086,9.184281843,8.747156119,8.310030395,5.749753695,14.12605042
183,Line 1,119,Dongdan,Dongcheng District,116.418,39.9082,18.15492958,21.24158693,24.32824427,7.364341085,33.8
184,Line 1,118,Wangfujing,Dongcheng District,116.412,39.9081,28.67777778,26.41275253,24.14772727,9.568965517,38.2962963
185,Line 1,117,Tian'anmen East,Dongcheng District,116.402,39.9078,3.467532468,3.743381618,4.019230769,3.886792453,5.86440678
186,Line 1,116,Tian'anmen West,Dongcheng District,116.392,39.9075,6.546875,8.868675595,11.19047619,5.428571429,9.742857143
187,Line 1,115,Xidan,Xicheng District,116.374,39.9073,13.09597523,13.30560957,13.5152439,6.685258964,12.59530792
188,Line 10,9059,Xidiaoyutai,Haidian District,116.298,39.9236,NA,NA,1.356707317,1.414225941,1.406296852
189,Line 13,1323,Dazhongsi,Haidian District,116.345,39.9666,3.534045394,3.587878788,4.886513158,4.0777667,3.913580247
190,Line 10,1067,Huoqiying,Haidian District,116.287,39.9686,NA,NA,0.741116751,0.837398374,0.714285714
